iter	Passed	Remaining
0	121	121786
1	122	61306
2	123	41115
3	124	31055
4	125	24999
5	127	21043
6	128	18222
7	129	16086
8	130	14400
9	131	13062
10	132	11952
11	133	11026
12	134	10244
13	136	9596
14	137	9010
15	138	8507
16	139	8068
17	140	7667
18	142	7353
19	144	7056
20	145	6776
21	146	6511
22	147	6262
23	148	6031
24	149	5822
25	151	5658
26	152	5480
27	153	5315
28	154	5164
29	155	5017
30	157	4919
31	158	4792
32	159	4674
33	160	4566
34	162	4480
35	163	4387
36	164	4290
37	165	4199
38	166	4110
39	167	4025
40	168	3944
41	169	3868
42	170	3797
43	173	3765
44	174	3701
45	176	3659
46	177	3609
47	178	3548
48	179	3490
49	180	3435
50	181	3380
51	184	3366
52	185	3317
53	189	3314
54	190	3273
55	192	3249
56	193	3207
57	194	3164
58	195	3121
59	196	3079
60	197	3039
61	198	3005
62	199	2968
63	200	2932
64	201	2897
65	204	2894
66	206	2871
67	207	2844
68	208	2815
69	209	2784
70	210	2754
71	211	2724
72	212	2701
73	213	2673
74	214	2646
75	215	2620
76	216	2593
77	220	2605
78	221	2581
79	222	2560
80	223	2539
81	225	2519
82	225	2491
83	226	2475
84	228	2456
85	230	2446
86	231	2426
87	235	2439
88	236	2420
89	237	2400
90	238	2380
91	239	2360
92	240	2344
93	241	2326
94	242	2308
95	243	2290
96	244	2272
97	245	2255
98	245	2238
99	246	2222
100	249	2218
101	250	2205
102	252	2195
103	253	2180
104	254	2172
105	256	2162
106	260	2174
107	265	2195
108	266	2182
109	268	2169
110	269	2159
111	270	2148
112	272	2135
113	273	2124
114	274	2115
115	276	2107
116	278	2098
117	280	2093
118	283	2097
119	284	2087
120	286	2077
121	286	2065
122	288	2055
123	289	2046
124	290	2036
125	292	2026
126	293	2016
127	294	2008
128	296	2000
129	297	1991
130	298	1982
131	300	1975
132	301	1966
133	304	1967
134	305	1958
135	307	1951
136	310	1958
137	313	1958
138	314	1950
139	316	1942
140	318	1937
141	318	1926
142	320	1920
143	321	1911
144	322	1903
145	325	1904
146	327	1897
147	328	1891
148	329	1884
149	331	1878
150	332	1870
151	333	1862
152	334	1854
153	336	1846
154	337	1840
155	339	1837
156	341	1831
157	342	1824
158	343	1817
159	345	1812
160	346	1803
161	347	1797
162	348	1790
163	350	1784
164	351	1777
165	352	1772
166	355	1774
167	357	1768
168	358	1762
169	360	1758
170	361	1751
171	362	1745
172	364	1740
173	365	1734
174	367	1731
175	371	1740
176	373	1736
177	375	1733
178	376	1728
179	377	1721
180	378	1714
181	379	1707
182	380	1700
183	381	1692
184	382	1685
185	383	1678
186	386	1678
187	387	1673
188	388	1667
189	389	1661
190	390	1655
191	391	1649
192	392	1643
193	394	1637
194	395	1630
195	395	1624
196	397	1619
197	398	1614
198	401	1617
199	404	1616
200	405	1611
201	406	1606
202	407	1599
203	408	1593
204	409	1587
205	410	1582
206	411	1575
207	412	1569
208	413	1564
209	415	1563
210	416	1558
211	418	1553
212	418	1547
213	419	1542
214	420	1536
215	422	1532
216	423	1527
217	424	1523
218	425	1518
219	430	1525
220	431	1522
221	432	1517
222	433	1511
223	434	1506
224	435	1501
225	436	1496
226	437	1490
227	438	1485
228	441	1487
229	443	1485
230	447	1488
231	448	1484
232	449	1479
233	450	1474
234	451	1469
235	452	1465
236	453	1460
237	454	1455
238	455	1451
239	457	1447
240	458	1442
241	459	1438
242	461	1438
243	462	1433
244	463	1429
245	464	1424
246	465	1419
247	467	1416
248	468	1412
249	469	1407
250	470	1403
251	471	1398
252	472	1393
253	473	1389
254	473	1384
255	475	1382
256	477	1379
257	478	1375
258	479	1371
259	480	1367
260	481	1363
261	482	1359
262	483	1355
263	484	1350
264	485	1346
265	486	1341
266	487	1337
267	487	1332
268	491	1334
269	492	1330
270	493	1326
271	493	1322
272	494	1318
273	495	1313
274	496	1309
275	497	1305
276	498	1301
277	499	1297
278	500	1293
279	501	1289
280	502	1284
281	503	1280
282	505	1279
283	506	1276
284	507	1273
285	509	1270
286	510	1267
287	511	1264
288	512	1260
289	513	1256
290	514	1252
291	515	1248
292	515	1244
293	516	1241
294	517	1237
295	518	1234
296	521	1233
297	522	1231
298	523	1227
299	524	1224
300	525	1221
301	526	1217
302	527	1213
303	528	1210
